symbol	probe	t	pval	logFC	p_adj
51299	10023817216	-24.027913588284164	1.8775121484320237e-82	-0.3406287785359832	2.45828923968033e-78
63974	10025910121	-25.003928433474687	4.354394695076202e-82	-0.5050625779321759	4.276015590564831e-78
5475	10023815084	-24.448004421479155	2.6786910676592112e-79	-0.6360333466292583	2.1043797027530766e-75
83988	10025909874	-23.10188258223419	6.816239741775058e-78	-0.3890444356794842	4.4623649509487376e-74
55530	10025904350	-22.801940811443227	9.946951301309735e-78	-0.384523837797292	5.581660673077807e-74
2796	10025903309	23.102518601955136	2.832906300446127e-77	0.1962470390519005	1.2364062164613764e-73
51239	10025908628	-22.846555028040846	1.517285301864766e-76	-0.2811098877811876	5.959896665724801e-73
9315	10023810663	-22.834519836738554	2.1543156479026034e-76	-0.2687350887580645	7.692865331783116e-73
84900	10023844672	-22.684390939926715	4.1208420887322675e-76	-0.2528763905423669	1.348888977045029e-72
1032	10023811506	-22.65244859379921	6.989413613356377e-75	-0.2013715530047491	1.961029762375989e-71
7425	10026391091	-23.92198909505088	5.827633153063369e-74	-0.5473004206670022	1.5260628683488608e-70
8988	10023814159	-22.19457378542931	6.663722658573997e-74	-0.4027332836966509	1.539711917816392e-70
23102	10025903459	23.343317468966845	7.75962244586049e-74	0.1664460574936819	1.693322053741111e-70
143162	10025911097	-23.714454456784942	1.372963153579823e-73	-0.4883620973107561	2.746515320797249e-70
93974	10025906772	-21.9084634973032	1.3984293894079678e-73	-0.2229440817438874	2.746515320797249e-70
627	10023822632	-24.151430720960285	1.6526878758247275e-73	-0.4352690645163345	2.950799080108877e-70
3707	10025902315	23.43253556313847	2.1362390087127776e-73	0.4031404542079762	3.648324707053822e-70
220929	10025907281	22.532308799734224	2.4459794172281364e-73	0.128271528707617	4.003252979530049e-70
56934	10023810118	-22.30507178048907	4.106894463625964e-73	-0.4341734282110951	6.257171037967166e-70
5058	10023831050	-21.82850004442131	5.842874365351789e-73	-0.4757261557685638	8.500300187815493e-70
1122	10023826947	-22.35878510311608	1.1099531425170711e-72	-0.3778735525042943	1.5571056942168048e-69
51196	10026391646	21.726151618021177	1.6789668248495212e-72	0.2102698529061022	2.144901263618093e-69
55915	10025904242	-21.715727743674176	1.6927683088635666e-72	-0.1797178404578981	2.144901263618093e-69
10957	10023816478	22.41899252959121	2.4276409793741724e-72	0.2134495996468954	2.9799293021817963e-69
814	10023816681	-21.92105867267969	2.9450641677058385e-72	-0.4831900831862749	3.5055188032571314e-69
4792	10025905029	23.102192848045405	3.5911762257731684e-72	0.3603699377371008	4.148864769069708e-69
1428	10023808640	-21.605988746712125	3.985317070509586e-72	-0.5192663214599321	4.4726644151319007e-69
23543	10023808880	-22.26327127535645	5.106288324846658e-72	-0.2889983034554674	5.571527927777132e-69
340543	10023835545	-21.641294758911275	6.850904654229582e-72	-0.2246411661602424	7.273068508598323e-69
1392	10023815322	-24.685608881820396	7.623503838010174e-72	-0.8959874224859256	7.880295546237886e-69
401097	10025934766	-21.746321858926684	1.025389235286853e-71	-0.3909620005193548	1.032751004155579e-68
114569	10025904901	-21.59031518368303	1.3442296190515533e-71	-0.3617369181964043	1.3200334859086256e-68
