	AD	Control	HD	score
!Sample_characteristics_ch2	310	157	157	624
!Sample_channel_count	0	0	0	0
!Sample_characteristics_ch1	0	0	0	0
!Sample_contact_address	0	0	0	0
!Sample_contact_city	0	0	0	0
!Sample_contact_country	0	0	0	0
!Sample_contact_department	0	0	0	0
!Sample_contact_email	0	0	0	0
!Sample_contact_institute	0	0	0	0
!Sample_contact_name	0	0	0	0
!Sample_contact_state	0	0	0	0
!Sample_contact_zip/postal_code	0	0	0	0
!Sample_data_processing	0	0	0	0
!Sample_data_row_count	0	0	0	0
!Sample_description	0	0	0	0
!Sample_extract_protocol_ch1	0	0	0	0
!Sample_extract_protocol_ch2	0	0	0	0
!Sample_geo_accession	0	0	0	0
!Sample_growth_protocol_ch1	0	0	0	0
!Sample_growth_protocol_ch2	0	0	0	0
!Sample_hyb_protocol	0	0	0	0
!Sample_label_ch1	0	0	0	0
!Sample_label_ch2	0	0	0	0
!Sample_label_protocol_ch1	0	0	0	0
!Sample_label_protocol_ch2	0	0	0	0
!Sample_last_update_date	0	0	0	0
!Sample_molecule_ch1	0	0	0	0
!Sample_molecule_ch2	0	0	0	0
!Sample_organism_ch1	0	0	0	0
!Sample_organism_ch2	0	0	0	0
!Sample_platform_id	0	0	0	0
!Sample_scan_protocol	0	0	0	0
!Sample_series_id	0	0	0	0
!Sample_source_name_ch1	0	0	0	0
!Sample_source_name_ch2	0	0	0	0
!Sample_status	0	0	0	0
!Sample_submission_date	0	0	0	0
!Sample_supplementary_file	0	0	0	0
!Sample_taxid_ch1	0	0	0	0
!Sample_taxid_ch2	0	0	0	0
!Sample_title	0	0	0	0
!Sample_treatment_protocol_ch1	0	0	0	0
!Sample_treatment_protocol_ch2	0	0	0	0
!Sample_type	0	0	0	0
