id,label,prob_omics
GSM1424164,0,0.009061317
GSM1424096,0,0.029964026
GSM1424120,0,0.00048679597
GSM1423911,1,0.9937383
GSM1424130,0,0.0156556
GSM1423837,1,0.98968995
GSM1424154,0,0.041751146
GSM1423937,1,0.96487725
GSM1424222,0,0.07627531
GSM1424243,0,0.002548579
GSM1424102,0,0.0064526987
GSM1423853,1,0.9866735
GSM1423815,1,0.9498293
GSM1423945,1,0.9786027
GSM1424039,1,0.9819879
GSM1423902,1,0.9954005
GSM1423795,1,0.99377245
GSM1424195,0,0.07995548
GSM1423813,1,0.9805592
GSM1424040,1,0.98123944
GSM1424005,1,0.93631864
GSM1423980,1,0.922338
GSM1424117,0,0.005823401
GSM1424231,0,0.025369683
GSM1424149,0,0.012614141
GSM1423864,1,0.9921995
GSM1424245,0,0.016788488
GSM1424012,1,0.9915325
GSM1424140,0,0.019726926
GSM1424165,0,0.016306859
GSM1424078,1,0.9796143
GSM1423932,1,0.98577845
GSM1423859,1,0.96336603
GSM1423883,1,0.9934342
GSM1423805,1,0.89959246
GSM1424216,0,0.02630058
GSM1423938,1,0.9767809
GSM1424055,1,0.97110206
GSM1424127,0,0.005483733
GSM1424038,1,0.9684641
GSM1424118,0,0.006727863
GSM1423975,1,0.9209085
GSM1424142,0,0.004930309
GSM1424013,1,0.9846556
GSM1423900,1,0.9935899
GSM1423819,1,0.98432297
GSM1423818,1,0.9844536
GSM1424103,0,0.008019957
GSM1424060,1,0.9945134
GSM1423973,1,0.9068506
GSM1424228,0,0.025660725
GSM1423895,1,0.9766366
GSM1423858,1,0.9667226
GSM1424065,1,0.9093364
GSM1423966,1,0.92651534
GSM1423912,1,0.96851426
GSM1424104,0,0.015309345
GSM1423991,1,0.98131245
GSM1424200,0,0.0041736183
GSM1423962,1,0.9282664
GSM1423930,1,0.9815865
GSM1424129,0,0.06968123
GSM1423891,1,0.9642513
GSM1423786,1,0.97583973
GSM1423877,1,0.9861227
GSM1423816,1,0.94943804
